iter	Logloss
0	0.6449269081
1	0.604040428
2	0.5757121071
3	0.5493553968
4	0.5284718086
5	0.5139663479
6	0.497634582
7	0.4865001339
8	0.4770032197
9	0.4664016096
10	0.4626836798
11	0.4583759574
12	0.4515283341
13	0.4474859719
14	0.4441319036
15	0.4398675701
16	0.43445808
17	0.4315014749
18	0.4281087062
19	0.4245816219
20	0.4224333992
21	0.4195083336
22	0.4175280802
23	0.4154647497
24	0.4142569488
25	0.4115613722
26	0.4104790574
27	0.4087219099
28	0.4069851007
29	0.4046771057
30	0.4036909857
31	0.4022490641
32	0.4008708437
33	0.3998435204
34	0.3990458469
35	0.3980864845
36	0.3968762795
37	0.3961021009
38	0.3953443348
39	0.3945924621
40	0.3942437209
41	0.3932239049
42	0.3927300843
43	0.3918309778
44	0.3914811967
45	0.3906155865
46	0.3897485813
47	0.3884728495
48	0.3879076953
49	0.3871363249
50	0.3865664646
51	0.3857986413
52	0.3853772605
53	0.3848125707
54	0.3843995804
55	0.3839884575
56	0.3830282803
57	0.3815696654
58	0.3813678984
59	0.380867003
60	0.3805165446
61	0.3799683056
62	0.3797000385
63	0.3793554722
64	0.3790374217
65	0.3785217444
66	0.378009298
67	0.3774758123
68	0.3774757472
69	0.3769751025
70	0.3767630181
71	0.3757343118
72	0.3753493092
73	0.3749555303
74	0.3745268176
75	0.3745084442
76	0.3742941069
77	0.3741286833
78	0.3736393693
79	0.373108719
80	0.3729791627
81	0.3726741027
82	0.3718778659
83	0.3714727504
84	0.370864117
85	0.3707150635
86	0.3699106519
87	0.3695770764
88	0.3686549873
89	0.3683194371
90	0.3676156766
91	0.3669520191
92	0.3661119528
93	0.3658428354
94	0.3654880125
95	0.3648306359
96	0.3640083227
97	0.3632478725
98	0.3623760172
99	0.3619170722
100	0.3610276284
101	0.3606793824
102	0.3603456337
103	0.3600378736
104	0.3596722231
105	0.3590367852
106	0.3586612508
107	0.3581934834
108	0.357837934
109	0.357195454
110	0.3564848399
111	0.356036531
112	0.3555796083
113	0.3553052174
114	0.3543373909
115	0.3538647586
116	0.3538247097
117	0.3535266275
118	0.3529597094
119	0.3528353777
120	0.3523356365
121	0.3514424623
122	0.3512067002
123	0.350983859
124	0.3507100564
125	0.3502468112
126	0.3496053195
127	0.3492384047
128	0.3489989561
129	0.3483083527
130	0.348015685
131	0.347854503
132	0.347401595
133	0.347150907
134	0.346863951
135	0.3463000583
136	0.3455362759
137	0.345135954
138	0.3449220418
139	0.3446610543
140	0.3442601536
141	0.3436630988
142	0.3433626803
143	0.3431354157
144	0.3427131306
145	0.3422601938
146	0.3421256904
147	0.3418796429
148	0.3415545428
149	0.341198011
150	0.3407140228
151	0.3404713458
152	0.3402176634
153	0.3393266679
154	0.3386136595
155	0.3382028728
156	0.3377496985
157	0.337472167
158	0.3370922555
159	0.3367469841
160	0.336650929
161	0.3363688793
162	0.3356122826
163	0.3351555627
164	0.3348584947
165	0.3341352671
166	0.3338049098
167	0.3333430996
168	0.3330198746
169	0.3321991658
170	0.3317070828
171	0.3314008099
172	0.3311433207
173	0.3306921094
174	0.3304791495
175	0.3300291026
176	0.3297949691
177	0.3295466006
178	0.3289611518
179	0.3286070656
180	0.3280076338
181	0.3277124463
182	0.3274925572
183	0.3272439205
184	0.3266392696
185	0.3265541055
186	0.3259496548
187	0.3255953161
188	0.3254855502
189	0.3253268665
190	0.3249295197
191	0.3244549301
192	0.3242565577
193	0.3241096043
194	0.3234288675
195	0.3229971347
196	0.3226007912
197	0.3223696076
198	0.3222309282
199	0.3217885314
200	0.3215071583
201	0.3213148596
202	0.321069617
203	0.3204030068
204	0.3202137818
205	0.3198431205
206	0.3196388103
207	0.319008059
208	0.3189121506
209	0.318185531
210	0.3178201965
211	0.3176509555
212	0.317237415
213	0.3166170689
214	0.3162656697
215	0.3160964125
216	0.3158262707
217	0.3153935828
218	0.3151271676
219	0.3149206739
220	0.3146509586
221	0.3141950883
222	0.3138969542
223	0.3138057349
224	0.3136321488
225	0.313437197
226	0.3130568779
227	0.3127751007
228	0.3126147617
229	0.3122035715
230	0.3120168202
231	0.3117123327
232	0.3115335706
233	0.311322292
234	0.3111325574
235	0.3105217556
236	0.3104458134
237	0.3099755948
238	0.3097594351
