iter	Passed	Remaining
0	45	45310
1	103	51615
2	163	54252
3	212	52894
4	264	52675
5	314	52024
6	362	51397
7	409	50763
8	455	50193
9	502	49789
10	540	48598
11	593	48843
12	637	48380
13	680	47909
14	726	47735
15	773	47546
16	821	47513
17	867	47340
18	911	47045
19	956	46882
20	1003	46797
21	1047	46582
22	1096	46563
23	1143	46516
24	1190	46441
25	1235	46301
26	1281	46169
27	1329	46150
28	1376	46082
29	1422	45986
30	1469	45928
31	1517	45892
32	1565	45881
33	1613	45840
34	1659	45758
35	1708	45737
36	1753	45631
37	1797	45508
38	1844	45456
39	1890	45365
40	1937	45318
41	1983	45247
42	2032	45239
43	2077	45145
44	2124	45087
45	2173	45069
46	2218	44991
47	2262	44868
48	2330	45229
49	2376	45155
50	2424	45113
51	2468	45011
52	2512	44894
53	2559	44831
54	2602	44708
55	2657	44791
56	2705	44767
57	2751	44696
58	2784	44408
59	2833	44384
60	2879	44331
61	2927	44295
62	2976	44270
63	3023	44218
64	3084	44365
65	3130	44300
66	3180	44288
67	3225	44210
68	3234	43647
69	3286	43657
70	3332	43598
71	3393	43733
72	3440	43687
73	3488	43652
74	3536	43617
75	3560	43284
76	3607	43248
77	3655	43211
78	3703	43180
79	3751	43147
80	3797	43089
81	3844	43036
82	3892	43008
83	3939	42957
84	3988	42932
85	4037	42909
86	4088	42901
87	4139	42899
88	4187	42862
89	4233	42803
90	4281	42766
91	4327	42715
92	4375	42674
93	4421	42617
94	4470	42586
95	4520	42563
96	4565	42498
97	4613	42462
98	4660	42418
99	4709	42381
100	4757	42345
101	4804	42302
102	4849	42233
103	4896	42188
104	4963	42312
105	5010	42254
106	5059	42223
107	5105	42168
108	5151	42111
109	5200	42075
110	5248	42032
111	5295	41986
112	5348	41986
113	5396	41941
114	5443	41890
115	5493	41865
116	5537	41789
117	5584	41739
118	5632	41702
119	5680	41655
120	5730	41627
121	5785	41637
122	5835	41606
123	5882	41556
124	5930	41513
125	5977	41465
126	6026	41423
127	6073	41376
128	6118	41311
129	6163	41247
130	6212	41211
131	6259	41159
132	6309	41129
133	6364	41132
134	6408	41061
135	6462	41054
136	6507	40989
137	6551	40924
138	6600	40884
139	6646	40831
140	6692	40774
141	6738	40713
142	6784	40661
143	6829	40595
144	6878	40556
145	6923	40499
146	6971	40452
147	7015	40387
148	7061	40330
149	7105	40262
150	7153	40222
151	7199	40166
152	7247	40124
153	7294	40074
154	7343	40034
155	7387	39966
156	7434	39918
157	7479	39857
158	7526	39811
159	7572	39756
160	7620	39713
161	7668	39666
162	7715	39617
163	7767	39594
164	7813	39539
165	7858	39483
166	7907	39444
167	7961	39430
168	8008	39377
169	8053	39320
170	8100	39270
171	8143	39203
172	8190	39152
173	8242	39127
174	8290	39082
175	8338	39040
176	8389	39006
177	8435	38953
178	8482	38906
179	8531	38867
180	8583	38839
181	8626	38772
182	8676	38734
183	8721	38676
184	8765	38614
185	8812	38567
186	8859	38519
187	8907	38473
188	8953	38418
189	9003	38381
190	9049	38331
191	9101	38300
192	9149	38257
193	9201	38228
194	9247	38176
195	9294	38128
196	9342	38082
197	9399	38070
198	9445	38021
199	9494	37976
200	9540	37926
201	9586	37870
202	9634	37824
203	9682	37779
204	9728	37728
205	9776	37681
206	9822	37628
207	9870	37583
208	9915	37526
209	9961	37475
210	10007	37422
211	10053	37367
212	10099	37314
213	10144	37259
214	10192	37215
215	10238	37162
216	10285	37112
217	10331	37059
218	10376	37003
219	10421	36949
220	10468	36900
221	10522	36877
222	10569	36826
223	10620	36792
224	10666	36741
225	10712	36687
226	10756	36630
227	10809	36600
228	10856	36550
229	10902	36499
230	10944	36435
231	10990	36383
232	11038	36336
233	11082	36279
234	11128	36225
235	11172	36168
236	11218	36115
237	11263	36061
238	11308	36008
239	11353	35953
240	11399	35901
241	11443	35843
242	11490	35794
243	11535	35739
244	11579	35684
245	11626	35637
246	11674	35591
247	11720	35538
248	11767	35492
249	11814	35443
250	11856	35379
251	11903	35332
252	11948	35277
253	11996	35234
254	12043	35185
255	12108	35190
256	12154	35138
257	12199	35084
258	12244	35031
259	12289	34978
260	12336	34929
261	12380	34872
262	12427	34826
263	12476	34781
264	12521	34730
265	12567	34679
266	12612	34625
267	12656	34569
268	12704	34523
269	12752	34478
270	12800	34434
271	12845	34379
272	12890	34328
273	12935	34274
274	12980	34221
275	13025	34168
276	13074	34126
277	13120	34075
278	13167	34027
279	13213	33976
280	13259	33928
281	13306	33878
282	13354	33834
283	13402	33789
284	13448	33738
285	13516	33745
286	13564	33699
287	13612	33653
288	13659	33604
289	13707	33558
290	13756	33515
291	13803	33469
292	13849	33417
293	13895	33368
294	13941	33318
295	13991	33276
296	14037	33227
297	14083	33177
298	14130	33127
299	14173	33072
300	14221	33025
301	14266	32972
302	14313	32926
303	14362	32881
304	14409	32835
305	14456	32786
306	14502	32737
307	14545	32680
308	14592	32632
309	14639	32584
310	14688	32541
311	14735	32493
312	14781	32442
313	14826	32390
314	14872	32341
315	14918	32292
316	14967	32248
317	15012	32195
318	15058	32146
319	15105	32098
320	15155	32056
321	15203	32013
322	15250	31964
323	15297	31916
324	15344	31868
325	15389	31816
326	15436	31770
327	15490	31735
328	15545	31704
329	15592	31658
330	15641	31612
331	15688	31565
332	15745	31537
333	15791	31488
334	15836	31437
335	15885	31392
336	15930	31341
337	15977	31293
338	16025	31247
339	16072	31200
340	16118	31149
341	16168	31108
342	16215	31059
343	16261	31009
344	16306	30959
345	16352	30909
346	16415	30890
347	16464	30847
348	16509	30795
349	16559	30752
350	16605	30703
351	16652	30655
352	16699	30608
353	16748	30563
354	16795	30515
355	16843	30470
356	16889	30420
357	16936	30372
358	16986	30328
359	17033	30281
360	17083	30239
361	17132	30195
362	17176	30140
363	17225	30097
364	17275	30054
365	17318	29999
366	17368	29957
367	17415	29909
368	17464	29864
369	17510	29815
370	17558	29768
371	17607	29724
372	17653	29674
373	17700	29626
374	17745	29575
375	17791	29526
376	17837	29476
377	17881	29423
378	17929	29377
379	17976	29330
380	18024	29283
381	18071	29236
382	18125	29198
383	18173	29154
384	18227	29116
385	18273	29067
386	18322	29022
387	18369	28973
388	18415	28925
389	18482	28908
390	18530	28862
391	18577	28814
392	18623	28764
393	18669	28714
394	18715	28665
395	18762	28616
396	18811	28572
397	18856	28522
398	18906	28478
399	18969	28454
400	19016	28406
401	19064	28360
402	19114	28315
403	19158	28264
404	19204	28213
405	19253	28168
406	19299	28120
407	19346	28070
408	19390	28018
409	19435	27967
410	19482	27920
411	19526	27868
412	19575	27823
413	19620	27772
414	19684	27748
415	19731	27700
416	19781	27656
417	19829	27609
418	19877	27562
419	19923	27513
420	19971	27466
421	20016	27416
422	20062	27366
423	20108	27316
424	20153	27266
425	20213	27235
426	20261	27189
427	20309	27142
428	20369	27112
429	20418	27066
430	20462	27014
431	20510	26967
432	20556	26918
433	20602	26868
434	20649	26820
435	20696	26772
436	20743	26724
437	20788	26674
438	20835	26625
439	20880	26575
440	20927	26527
441	20974	26478
442	21020	26430
443	21068	26383
444	21112	26331
445	21160	26284
446	21207	26236
447	21255	26189
448	21301	26140
449	21348	26092
450	21396	26046
451	21445	26000
452	21490	25950
453	21537	25901
454	21588	25858
455	21634	25809
456	21678	25757
457	21724	25708
458	21771	25661
459	21820	25615
460	21867	25566
461	21914	25519
462	21961	25471
463	22010	25425
464	22057	25378
465	22104	25329
466	22151	25282
467	22197	25233
468	22242	25183
469	22292	25137
470	22336	25086
471	22380	25035
472	22428	24989
473	22476	24941
474	22522	24893
475	22570	24846
476	22615	24795
477	22659	24745
478	22707	24698
479	22758	24654
480	22805	24607
481	22851	24557
482	22898	24510
483	22948	24466
484	22993	24416
485	23038	24365
486	23083	24316
487	23128	24265
488	23171	24214
489	23216	24163
490	23263	24116
491	23314	24072
492	23361	24025
493	23408	23977
494	23455	23929
495	23500	23879
496	23546	23830
497	23591	23781
498	23639	23734
499	23685	23685
500	23734	23640
501	23781	23591
502	23828	23544
503	23873	23494
504	23920	23447
505	23969	23400
506	24012	23349
507	24057	23299
